region,unique_id,population,men,women,b_00_14,b_15_24,b_25_44,b_45_64,b_65_oo,unmarried,married,divorced,widowed
Hellevoetsluis,GM0530,40049,19819,20230,6177,4258,9170,12058,8386,16533,17717,3775,2024
Hendrik-Ido-Ambacht,GM0531,30966,15213,15753,6411,3502,7828,8073,5152,13705,14123,1770,1368
Stede Broec,GM0532,21706,10912,10794,3576,2625,4849,6003,4653,9378,9751,1508,1069
Hillegom,GM0534,21966,10892,11074,3469,2321,5212,6438,4526,9927,9022,1797,1220
Katwijk,GM0537,65302,32425,32877,12214,8084,16180,17337,11487,29129,29439,3613,3121
Krimpen aan den IJssel,GM0542,29376,14179,15197,5062,3536,5958,7783,7037,12253,13393,1880,1850
Leiden,GM0546,124899,60495,64404,16426,22530,36862,30207,18874,74658,36920,8791,4530
Leiderdorp,GM0547,27109,13120,13989,4333,3059,5620,8004,6093,12085,11420,2068,1536
Lisse,GM0553,22800,11215,11585,3562,2495,5033,6602,5108,9862,9854,1739,1345
Maassluis,GM0556,32768,16077,16691,5178,3517,7787,8785,7501,14162,14107,2631,1868
Nieuwkoop,GM0569,28625,14474,14151,4496,3388,6290,8659,5792,13011,12670,1647,1297
Noordwijk,GM0575,42859,21526,21333,6383,4788,9646,12761,9281,20010,17087,3535,2227
Oegstgeest,GM0579,24426,11765,12661,4417,2686,5392,6986,4945,11364,10028,1789,1245
Oudewater,GM0589,10201,5018,5183,1728,1264,2197,2947,2065,4823,4190,621,567
Papendrecht,GM0590,32290,15898,16392,5219,3762,7289,8946,7074,13387,14564,2551,1788
Ridderkerk,GM0597,46241,22412,23829,6940,4998,10121,12954,11228,19159,20602,3399,3081
Rotterdam,GM0599,644618,317935,326683,103680,86037,197424,159008,98469,367279,187835,62703,26801
Rijswijk,GM0603,53467,25632,27835,8735,4795,14425,13753,11759,25755,19450,5088,3174
Schiedam,GM0606,77999,38675,39324,12406,9306,21192,21573,13522,39433,27620,6975,3971
Sliedrecht,GM0610,25026,12344,12682,4543,2942,6148,6407,4986,11062,10995,1539,1430
Albrandswaard,GM0613,25271,12518,12753,4568,2788,5718,7861,4336,11398,10930,1838,1105
Westvoorne,GM0614,14626,7258,7368,1918,1478,2615,4782,3833,5430,7073,1096,1027
Vlaardingen,GM0622,72404,35278,37126,11566,7957,18040,19435,15406,33553,27862,6591,4398
Voorschoten,GM0626,25479,12282,13197,4504,2656,5283,7135,5901,11485,10659,1895,1440
Waddinxveen,GM0627,28316,14058,14258,4997,3247,6978,7507,5587,12297,12862,1816,1341
Wassenaar,GM0629,26211,12405,13806,4433,2936,4290,7843,6709,11133,11343,2038,1697
Woerden,GM0632,52199,25804,26395,9374,6261,12060,14810,9694,24968,21386,3449,2396
Zoetermeer,GM0637,124944,60983,63961,21090,14458,30807,35417,23172,58793,48832,11974,5345
Zoeterwoude,GM0638,8450,4203,4247,1272,1028,1739,2677,1734,3874,3657,492,427
Zwijndrecht,GM0642,44639,21656,22983,7269,4934,10486,11917,10033,19159,19003,3717,2760
Borsele,GM0654,22800,11557,11243,3892,2672,4899,6749,4588,9671,10438,1582,1109
Goes,GM0664,37653,18448,19205,5433,4210,8270,10894,8846,16163,15899,3358,2233
West Maas en Waal,GM0668,19076,9554,9522,2749,2153,3962,6245,3967,8157,8547,1305,1067
Hulst,GM0677,27524,13792,13732,3658,2622,5572,8874,6798,11018,12524,2255,1727
Kapelle,GM0678,12785,6391,6394,2303,1485,2765,3610,2622,5206,6155,810,614
Middelburg,GM0687,48544,23539,25005,7693,5826,10970,13349,10706,21832,19921,4184,2607
Reimerswaal,GM0703,22678,11404,11274,4730,2953,5570,5604,3821,10399,10055,1185,1039
Terneuzen,GM0715,54589,27141,27448,7727,5575,11632,16082,13573,21959,24048,4984,3598
Tholen,GM0716,25780,12883,12897,4743,3282,5805,7087,4863,10981,11830,1617,1352
Veere,GM0717,21835,10893,10942,3269,2409,3972,6418,5767,8328,10934,1264,1309
Vlissingen,GM0718,44371,22088,22283,6384,5057,10156,12442,10332,19778,17266,4534,2793
De Ronde Venen,GM0736,44059,21823,22236,6893,5204,9064,13928,8970,19891,18738,3236,2194
Tytsjerksteradiel,GM0737,31780,15900,15880,5219,3604,6485,9137,7335,13751,14155,1988,1886
Asten,GM0743,16710,8592,8118,2520,1994,3562,4948,3686,7380,7432,962,936
Baarle-Nassau,GM0744,6847,3477,3370,928,625,1434,2033,1827,2792,3060,535,460
Bergen op Zoom,GM0748,66811,33152,33659,9986,7453,15131,19999,14242,28383,28539,6060,3829
Best,GM0753,29821,14927,14894,4673,3758,6484,9267,5639,13206,13136,2111,1368
Boekel,GM0755,10588,5402,5186,1738,1382,2388,3099,1981,5029,4518,534,507
Boxmeer,GM0756,29065,14573,14492,4117,3512,5751,9133,6552,12753,12851,1868,1593
Boxtel,GM0757,30747,15294,15453,4797,3583,6881,8820,6666,13728,13021,2264,1734
Breda,GM0758,183873,90536,93337,28676,25408,47953,48269,33567,97184,63170,14595,8924
Deurne,GM0762,32362,16302,16060,4963,3877,6951,9740,6831,14340,14107,2051,1864
Pekela,GM0765,12214,6170,6044,1802,1369,2616,3673,2754,5163,5163,1082,806
Dongen,GM0766,26051,13029,13022,3968,2989,5876,7752,5466,11067,11609,1889,1486
Eersel,GM0770,19110,9674,9436,2849,2142,4038,5847,4234,8291,8603,1179,1037
Eindhoven,GM0772,231642,119157,112485,33003,32174,71194,56630,38641,126407,75403,19642,10190
Etten-Leur,GM0777,43774,21577,22197,7320,4746,10406,12458,8844,19106,18867,3571,2230
Geertruidenberg,GM0779,21515,10675,10840,3441,2265,4969,6355,4485,9280,9369,1625,1241
Gilze en Rijen,GM0784,26431,13192,13239,4194,3038,5943,7805,5451,11306,11805,1968,1352
Goirle,GM0785,23793,11831,11962,4026,2380,5108,6882,5397,10104,10720,1678,1291
Grave,GM0786,12483,6339,6144,1853,1436,2635,3789,2770,5544,5246,966,727
Haaren,GM0788,14195,7201,6994,1971,1716,2727,4562,3219,6241,6372,864,718
Helmond,GM0794,91524,46222,45302,15287,11000,22835,26701,15701,42867,36065,8361,4231
's-Hertogenbosch,GM0796,154205,76201,78004,23942,18123,41153,43495,27492,78098,55615,13189,7303
Heusden,GM0797,44135,22139,21996,6882,5136,9786,13335,8996,19054,19783,3072,2226
Hilvarenbeek,GM0798,15334,7705,7629,2309,1764,3042,4810,3409,6575,7075,845,839
Loon op Zand,GM0809,23327,11596,11731,3431,2585,5079,7062,5170,10045,10261,1611,1410
Mill en Sint Hubert,GM0815,10891,5574,5317,1567,1278,2180,3546,2320,4702,4969,608,612
"Nuenen, Gerwen en Nederwetten",GM0820,23186,11460,11726,3490,2434,4387,6960,5915,9325,10800,1773,1288
Oirschot,GM0823,18623,9370,9253,2725,2244,3724,6004,3926,8141,8330,1118,1034
Oisterwijk,GM0824,26140,12863,13277,3877,2951,5215,7874,6223,11327,11189,1935,1689
Oosterhout,GM0826,55616,27439,28177,8484,6136,12293,16414,12289,23566,24162,4747,3141
Oss,GM0828,91451,45891,45560,13993,11112,21325,27014,18007,41336,38191,7099,4825
Rucphen,GM0840,22572,11380,11192,2878,2299,4705,7671,5019,8403,10976,1588,1605
Sint-Michielsgestel,GM0845,28991,14561,14430,4737,3295,5930,8826,6203,12624,13069,1678,1620
Someren,GM0847,19322,9870,9452,2793,2354,4424,5953,3798,8476,8738,1039,1069
Son en Breugel,GM0848,16904,8325,8579,2864,1840,3580,4746,3874,7288,7394,1190,1032
Steenbergen,GM0851,25054,12845,12209,3368,2971,5886,7615,5214,11169,10585,1797,1503
